sentence,frequency
ব্যবসা চলমান রাখার ৪ শতাংশ সুদে ঋণ পেতে তাঁরা,1
২০২১-২২ অর্থবছরের বাজেট গতকাল শনিবার আয়োজিত এক সংবাদ সম্মেলনে বাংলাদেশ রেস্তোরাঁ মালিক সমিতি দাবি জানায়,1
"নিজেদের দাবি ওসমান গনি বলেন, পাঁচ তারকা হোটেল-রেস্তোরাঁর ভ্যাটের হার ১৫ শতাংশ",1
"যেসব রেস্টুরেন্টে বিদেশি খাবার বিক্রি হয়, ভ্যাটের হার সর্বোচ্চ সাড়ে ৭ শতাংশ",1
"কর্মজীবী, শ্রমজীবী, দিনমজুরদের নিম্ন মাঝারি মানের রেস্তোরাঁ পথখাবারের ভ্যাটের হার ৩ ৫ শতাংশ",1
"শিক্ষাপ্রতিষ্ঠানের ক্যানটিন ক্যাফেটেরিয়া, শিল্পকারখানার ক্যানটিন হোস্টেলের খাবারের ওপর ভ্যাটের হার সর্বোচ্চ ২ শতাংশ পারে",1
খাদ্য মন্ত্রণালয়ের এডিপি বাস্তবায়নের হার ৪২ শতাংশ,1
যুব ক্রীড়া মন্ত্রণালয়ের ৩৩ শতাংশ,1
তিনটির এটিও ২০০৯ সালে ওটিসি বাজারে স্থানান্তরিত হয়,1
অগ্রাধিকারের দিক ইপসস ২৮টি দেশের ২০ প্রাপ্তবয়স্ককে নির্বাচিত ১৬টি লক্ষ্যের প্রাধান্য নির্ধারণ বলে,1
২০টি দেশ তিনটি প্রাধান্যের এটিকে রেখেছে,1
৪টি দেশ প্রাধান্যের প্রথমে রেখেছে,1
২. দারিদ্র্যহীন—বিশ্বব্যাপী অগ্রাধিকারের তালিকায় দ্বিতীয় অবস্থানে আছে,1
বাকি ৬টি দেশের তিনটি প্রাধান্যের একটি,1
২৮টি দেশের ২০টি দেশের তালিকায় লক্ষ্য শীর্ষে রয়েছে,1
সেগুলো হলো—১. শূন্য ক্ষুধা—এসডিজি অর্জনে বিশ্বব্যাপী সবচেয়ে অগ্রাধিকার হিসেবে হয়েছে,1
"২০১৫ সালে জাতিসংঘ ২০৩০ সালের দারিদ্র্য বিমোচন, বিশ্ব রক্ষা টেকসই উন্নয়নের এজেন্ডা হিসেবে সমৃদ্ধি নিশ্চিতে ১৭টি লক্ষ্য ১৬৯টি সহায়ক লক্ষ্যমাত্রা গ্রহণ করে",1
নির্বাচিত বিজয়ীদের আগস্ট নভেম্বর ২০২১ সাড়ে তিন মাস কোরিয়ায় অবস্থান হবে,1
২০টি দেশের ২০ মানুষের জরিপ চালিয়েছে ইপসস দ্য ওয়ার্ল্ড ইকোনমিক ফোরাম,1
"দক্ষিণ এশিয়া, দক্ষিণ-পূর্ব এশিয়া অস্ট্রেলিয়ার অঞ্চলে সুদীর্ঘ ২৪ বছরের কাজের অভিজ্ঞতায় ঋদ্ধ জাভেদ আখতারের পারদর্শিতার ক্ষেত্রগুলো কনজ্যুমার সেন্ট্রিসিটি, ডিজাইন থিংকিং ইনোভেশন ম্যানেজমেন্ট",1
এরপর ২০০০ সালে 'ওরাল কেয়ার' ব্যবসার সিনিয়র ব্র্যান্ড ম্যানেজার হিসেবে ইউনিলিভারে যোগদান করেন,1
ব্যবস্থাপনা পরিচালকের পাশাপাশি কেদার লেলে ২০২০ সাল ইউনিলিভার বাংলাদেশের চেয়ারম্যান হিসেবেও দায়িত্ব পালন করছেন,1
কেদার লেলে ২০১৮ সালের জানুয়ারি মাস ইউনিলিভার বাংলাদেশের সিইও এমডি হিসেবে দায়িত্ব পালন আসছেন,1
১ জুলাই দায়িত্ব নেবেন তিনি,1
৩. সুস্বাস্থ্য সুস্থতা—বিশ্বব্যাপী ৩ নম্বর অগ্রাধিকার,1
৪টি দেশে এটিকে ১ নম্বর অগ্রাধিকার দিয়েছে,1
ছাড়া ১৩টি দেশের শীর্ষ তিন অগ্রাধিকারের রয়েছে এটি,1
"ছাড়া জরিপে ২৮টি দেশের যুক্তরাজ্যের প্রধান অগ্রাধিকার জলবায়ু মোকাবিলায় পদক্ষেপে, দক্ষিণ কোরিয়ার অগ্রাধিকার 'শান্তি, ন্যায়বিচার শক্তিশালী প্রতিষ্ঠান'",1
"জরিপে উল্লেখযোগ্য বিষয় উঠে এসেছে, লক্ষ্য নির্ধারণ জনগণ ২০৩০ সালকে সরকারগুলো এসব বাস্তবায়নের না",1
৪৫ মিনিটের ডিএসইএর প্রধান সূচক ডিএসইএক্স বাড়ে ৫০ পয়েন্ট,1
সকাল ১০টা ৫০ বেড়েছে ৫৫ পয়েন্ট,1
অপর চট্টগ্রাম স্টক এক্সচেঞ্জে সার্বিক সূচক সিএএসপিআই বেড়েছে ৬৭ পয়েন্ট,1
ডিএসইতে সকালের সময় লেনদেন হয়েছে ৭৮১ টাকার,1
"হাতবদল হওয়া শেয়ার মিউচুয়াল ফান্ডের দর বেড়েছে ২৩৯টির, কমেছে ৯৭টির, অপরিবর্তিত ২৭টির দর",1
গতকাল বুধবার লেনদেন শেষে ডিএসইএক্স ৩১ পয়েন্ট বেড়ে অবস্থান ৬ ৫৫ পয়েন্টে,1
"ডিএসইতে লেনদেন ২ ৭০০ টাকার, গত সাড়ে ১০ বছরের সর্বোচ্চ লেনদেন পুঁজিবাজারে",1
২০১০ সালের ৬ ডিসেম্বর ডিএসইতে ২ ৭১১ টাকার শেয়ার লেনদেন হয়,1
রিকন্ডিশন্ড পুরোনো গাড়ি ব্যবসায়ীদের সংগঠন বারভিডা গতকাল বুধবার কার্যালয়ে সংবাদ সম্মেলন পুরোনো গাড়ি আমদানিতে ৪৫ শতাংশ অবচয়-সুবিধা দাবি করেছেন,1
১২-১৫ আসনের মাইক্রোবাস আমদানিতে সম্পূরক শুল্ক সম্পূর্ণরূপে প্রত্যাহার চেয়েছেন,1
৭-৯ আসনের মাইক্রোবাসের সম্পূরক শুল্ক কমানো হয়েছে,1
দেশে ১২-১৫ আসনের মাইক্রোবাস জনপ্রিয়,1
"কে-স্টার্টআপে অংশগ্রহণের প্রস্তুতি নিচ্ছেন, শফিউল তানিয়ার নিম্নোক্ত বিষয়গুলোর নজর রাখতে পরামর্শ দিয়েছেন—কে-স্টার্টআপ গ্র্যান্ড চ্যালেঞ্জে অংশগ্রহণের আবেদন শেষ ১৫ই জুন, ২০২১",1
২০১৩ সাল হওয়া স্টার্টআপের উদ্যোক্তা দলীয় সদস্যদের কমপক্ষে একজনের ব্যাচেলর ডিগ্রি আবশ্যক,1
"বাজেট আলোচনায় অংশ নিলে জবাবদিহির জায়গাটা কীভাবে তৈরি হবে?'বাংলাদেশ পরিসংখ্যান ব্যুরোর (বিবিএস) সক্ষমতা বৃদ্ধির দাবি জানিয়ে সাবের হোসেন চৌধুরী বলেন, '২০১৬ সালের শ্রমশক্তি জরিপের ফলাফল দিয়ে না",1
"দুঃখজনক ব্যাপার হলো, ২০২১-২২ অর্থবছরের বাজেট বক্তৃতায় অর্থমন্ত্রী একবারও 'নতুন দরিদ্র' শব্দবন্ধটি উচ্চারণ করেননি",1
শুক্রবার যুক্তরাজ্যের কর্নওয়ালে হয়েছে জি-৭ শীর্ষ সম্মেলন,1
যুক্তরাষ্ট্রে বেকারদের সপ্তাহে ৬০০ ডলার হচ্ছে,1
"৩৫ লাখ মানুষের তথ্যভান্ডার তৈরি হলো, দিয়েই প্রক্রিয়া আরেকভাবে যায়",1
তথ্য-উপাত্তের প্রয়োজনীয়তা সরকার ৫০ লাখ দরিদ্র পরিবারকে নগদ সহায়তা চাইলেও প্রয়োজনীয় তথ্য-উপাত্তের অভাবে শেষমেশ ৩৫ লাখ পরিবারকে পেরেছে,1
"যুক্তরাষ্ট্রের কথাই যায়, দেশটিতে তিন দফায় ব্যবসাপ্রতিষ্ঠানসহ নাগরিকদের নগদ সহায়তা হয়েছে, বদৌলতে চলতি বছরে দেশটির প্রবৃদ্ধির হার ৬ শতাংশ ছাড়িয়ে আন্তর্জাতিক সংস্থাগুলো পূর্বাভাস দিচ্ছে",1
"অর্থনীতিবিদেরা মোটাদাগে আশা করেছিলেন, ২০২১-২২ অর্থবছরের বাজেটে দারিদ্র্য, কর্মসংস্থান বৈষম্য নিরসনে কর্মসূচি হবে",1
"'১৯৯৬ সালে প্রতিষ্ঠিত ফিন্যান্স এশিয়া হংকংভিত্তিক প্রকাশনা, এশিয়ার অর্থনীতি পুঁজিবাজার করে",1
"এরপর ডেমো দিবসে নির্বাচিত শীর্ষ ৩০টি স্টার্টআপ জানুয়ারি এপ্রিল, ২০২২ ১১ ১৪০ ডলার পাওয়ার নির্বাচিত হবে",1
ছাড়াও দেশের ব্যাসেল-৩ অনুযায়ী ইস্যুকৃত কন্টিনজেন্ট কনভার্টিবল পারপেচুয়াল বন্ডের ট্রাস্টি হিসেবে আইডিএলসি করেছে,1
বিদ্যুৎ খাতের কোম্পানির একীকরণের লেনদেনেও আইডিএলসি ২০২০ সালে করেছে,1
২০২০ সালে আইডিএলসি বাংলাদেশের সর্ববৃহৎ আইপিওর ইস্যু ম্যানেজার হিসেবে করেছে,1
কোভিড-১৯ পরিস্থিতি সত্ত্বেও আইডিএলসি ইনভেস্টমেন্টসের ২০২০ সাফল্যমণ্ডিত বছর,1
আইডিএলসি ইনভেস্টমেন্টস লিমিটেডকে ২০২১ সালের ফিন্যান্স এশিয়া কান্ট্রি অ্যাওয়ার্ডে বাংলাদেশের সেরা ইনভেস্টমেন্ট ব্যাংক হিসেবে স্বীকৃতি হয়েছে,1
সিপিডির ফেলো মোস্তাফিজুর রহমানের সঞ্চালনায় ২০২১-২২ অর্থবছরের উপস্থাপিত বাজেটের সার্বিক দিক ধরেন সিপিডির নির্বাহী পরিচালক ফাহমিদা খাতুন,1
২০১৮ সালে ফেসবুক যুক্তরাজ্যে ২ ৮৫ লাখ ডলার কর দেয়,1
বছর ফেসবুকের আয় ১৬৫ ডলার,1
"জি-৭ চুক্তি অনুযায়ী কোম্পানিগুলো বিশ্বের দেশেই ব্যবসা করুক কেন, বিক্রির ওপর ১০ শতাংশ মুনাফা কর হবে",1
কর ২০ শতাংশ,1
১৫ শতাংশ কথা হচ্ছে,1
"বিসিএমইএ সভাপতি সিরাজুল ইসলাম মোল্লা বলেন, দেশীয় টাইলসের উৎপাদন পর্যায়ে ১৫ শতাংশ সম্পূরক শুল্ক হয়",1
বিক্রয় পর্যায়েও ১৫ শতাংশ ভ্যাট আরোপ আছে,1
"সংবাদ সম্মেলনে বিসিএমইএর নেতারা বলেন, সিরামিক খাতের প্রধান কাঁচামালের ৮০ শতাংশই প্রাকৃতিক খনিজ মাটিজাতীয় পদার্থ",1
সিরামিক পণ্য প্রস্তুতে উপকরণের চায়না ক্লে বল ক্লে ৬০ শতাংশ,1
খনি কারখানা কাঁচামাল পরিবহন পণ্য প্রস্তুত হওয়া ৩০ ৪০ শতাংশ অবচয় হয়ে থাকে,1
সিরামিকের পণ্য তৈরিতে প্রয়োজনীয় কাঁচামাল আমদানিতে ৩০ শতাংশ অবচয় আমদানি শুল্ক পরিশোধ ব্যবসাবান্ধব হবে,1
২০১৬ সাল হয়েছে কে-স্টার্টআপ গ্র্যান্ড চ্যালেঞ্জ,1
বর্তমানে চলছে ২০২১ সালের আয়োজন,1
"উল্লেখ্য, ২০১৭ সালে শফিউল তানিয়া দক্ষিণ এশিয়ার একমাত্র টিম হিসেবে সারা বিশ্ব আসা ২২টি টিমের প্রতিযোগিতায় নির্বাচিত হন",1
কারণে কোরিয়ার সরকারি ইন্টারন্যাশনাল স্টার্টআপ ইকোসিস্টেম পাঙ্গিও টেকনো ভ্যালির স্টার্টআপ ক্যাম্পাসে ৯ মাস সুযোগ পেয়েছেন তাঁরা,1
"রয়েছে দক্ষিণ কোরিয়ার অত্যাধুনিক রিসার্চ ডেভেলপমেন্ট ল্যাবগুলোতে প্রোটোটাইপিং, পরীক্ষা বিশেষজ্ঞদের সাপোর্ট, সেরা ১০ বিজয়ীর জন্য৩ লাখ ২০ ডলারের পুরস্কার, প্রোগ্রামের সময় অনুদান আনুষঙ্গিক খরচ, সর্বাধুনিক প্রযুক্তি ডিজিটাল পণ্যগুলোর ব্যবহারের সুযোগ, কোরিয়ার সিলিকন ভ্যালি হিসেবে খ্যাত পাংইয় টেকনো ভ্যালির কেন্দ্রে অবস্থিত গ্লোবাল স্টার্টআপ ক্যাম্পাসে সুযোগ, বিশেষজ্ঞদের মেন্টরশিপ, দক্ষিণ কোরিয়ার শীর্ষ সংস্থাগুলোর করপোরেট পার্টনার হওয়া অতিরিক্ত বিনিয়োগের সুযোগ",1
নির্বাচিত ৬০টি দলের প্রতিটিকে সাড়ে ৩ মাস কোরিয়ায় থাকার ১১ ১৪০ আমেরিকান ডলার হবে,1
"চুক্তি স্বাক্ষর অনুষ্ঠানে হয়, রাবনাবাদ চ্যানেলে ড্রেজিংয়ের পায়রা বন্দর সাগরের ৭৫ কিলোমিটার দীর্ঘ সাড়ে ১০ মিটার গভীরতার চ্যানেল সৃষ্টি হবে",1
মুন্নু ফেব্রিকস ডিএসইতে তালিকাভুক্ত হয়েছিল ১৯৯৬ সালে,1
ডিএসইতে এক ঘণ্টায় লেনদেন ছাড়িয়েছে ৫০০ টাকা,1
মেডিকেল কেয়ার সেবার দাম কমেছে শূন্য দশমিক ১ শতাংশ,1
মূল্যস্ফীতি ২ শতাংশের নিচে ফেডারেল রিজার্ভ সম্প্রসারণমূলক মুদ্রানীতি গ্রহণ করে,1
মূল্যস্ফীতি ২ শতাংশের আসলে অর্থনৈতিক বিকাশের ভালো,1
এপ্রিল মাসে যুক্তরাষ্ট্রে বিমানভাড়া আগের বছরের চেয়ে ১০ শতাংশ বেড়ে গেল,1
গত বছরের এপ্রিলে এক ধাক্কায় বিমানভাড়া আগের বছরের চেয়ে কমে যায় ২৪ শতাংশ পুরো ২০ সাল হতাশার মধ্য দিয়ে কাটায় খাত,1
এপ্রিলে যুক্তরাষ্ট্রের সার্বিক মূল্যস্ফীতির হার ৪ দশমিক ২ শতাংশ,1
"বেড়েছে আবাসন খরচ, এপ্রিল খরচ বেড়েছে শূন্য দশমিক ৩ শতাংশ",1
ডাক্তারের ব্যবস্থাপত্র অনুযায়ী ওষুধের দাম এপ্রিল কমেছে শূন্য দশমিক ৩ শতাংশ,1
২০০৭ সাল বোর্ড ডিরেক্টর হিসেবে দায়িত্ব পালন করছিলেন,1
ব্যবহৃত গাড়ি ট্রাকের দাম আগের মাসের তুলনায় ৭.৩ শতাংশ বেড়েছে,1
যুক্তরাষ্ট্রে মূল্যস্ফীতি ২ শতাংশের যায় ভালো অর্থনৈতিক পরিস্থিতিকেই নির্দেশ করে,1
১৯৯২ সালের জুনের সর্বোচ্চ,1
জ্বালানি খাদ্য কোর-মূল্য সূচক গত বছরের সময়ের চেয়ে মে মাসে বেড়ে হয়েছে ৩ দশমিক ৮ শতাংশ,1
"মে মাসে দেশটির মূল্যস্ফীতির হার দাঁড়িয়েছে ৫ শতাংশ, কিনা ২০০৮ সালের আগস্টের সর্বোচ্চ",1
১৩ বছরের সর্বোচ্চ মূল্যস্ফীতি হয়েছে যুক্তরাষ্ট্রে,1
মানে ২০২০ সালের ফেব্রুয়ারির তুলনায় ব্যবহৃত গাড়ি ট্রাকগুলো কম ব্যয়বহুল হয়েছিল,1
"বিশ্বব্যাংকের এক ফিচার স্টোরিতে হয়েছে, চলতি বছর বৈশ্বিক প্রবৃদ্ধির হার দাঁড়াবে ৫ দশমিক ৬ শতাংশ",1
২০২১ সালের প্রবৃদ্ধির পূর্বাভাস দেশের বৃদ্ধি এখনো কোভিডের লড়াই করছে,1
অন্যদিকে প্রবৃদ্ধির হার বাড়লেও প্রাক্মহামারি সময়ের পূর্বাভাসের তুলনায় জিডিপির আকার ৩ দশমিক ২ শতাংশ কম থাকবে,1
"বাস্তবতা হলো, ২০২১ সালের বৈশ্বিক প্রবৃদ্ধির এক-চতুর্থাংশের জোগান দেবে মার্কিন যুক্তরাষ্ট্র চীন",1
"দেশটির প্রবৃদ্ধির হার ৬ দশমিক শতাংশ ধারণা হচ্ছে, ১৯৮৪ সালের সর্বোচ্চ",1
বছর দেশটির প্রবৃদ্ধির হার দাঁড়াবে ৮ দশমিক ৫ শতাংশ,1
উদীয়মান উন্নয়নশীল দেশগুলোর প্রবৃদ্ধির হার ৬ শতাংশ দাঁড়াতে পারে,1
চীনকে বাদ দিলে দেশগুলোর প্রবৃদ্ধির হার ৪ দশমিক ৪ শতাংশ দাঁড়াবে পূর্বাভাস হয়েছে,1
২০২২ সালে গোষ্ঠীর দেশগুলোর প্রবৃদ্ধির হার দাঁড়াতে ৪ দশমিক ৭ শতাংশ,1
অন্যদিকে নিম্ন আয়ের দেশগুলোতে টিকাদানের গতি অত্যন্ত কম প্রবৃদ্ধির পূর্বাভাস কমিয়ে ২ দশমিক ৯ শতাংশ নির্ধারণ হয়েছে,1
২০২০ সালের সংকোচনের কথা বাদ দিলে গত দশকে দেশগুলোর প্রবৃদ্ধির হার কখনো এতটা কমেনি,1
"অন্যদিকে মধ্যপ্রাচ্য, আফ্রিকা, লাতিন আমেরিকা ক্যারিবীয় অঞ্চলের প্রবৃদ্ধি হবে, ২০২০ সালের সংকোচন কাটিয়ে ওঠার নয়",1
"সোমবার সপ্তাহের দ্বিতীয় কার্যদিবস লেনদেন শেষে ঢাকা স্টক এক্সচেঞ্জে (ডিএসই) ডিএসইএক্স কমেছে ২২ পয়েন্ট, অবস্থান ৬ ১৩ পয়েন্টে",1
অন্যদিকে চট্টগ্রাম স্টক এক্সচেঞ্জে (সিএসই) সার্বিক সূচক সিএএসপিআই কমেছে ৬৩ পয়েন্ট,1
"ডিএসইতে লেনদেন হয়েছে ১ ৭৪০ টাকার, গতকাল রোববারের চেয়ে ৩২৯ টাকা কম",1
গতকাল লেনদেনের পরিমাণ ২ ৬৯ টাকা,1
সংযুক্ত আরব আমিরাতে সিমেন্টের কারখানাসহ মহাদেশের ১৫টি দেশে ব্যবসায়িক কার্যক্রম পরিচালিত শুন শিং গ্রুপের,1
"স্বপন ভট্টাচার্য্য বলেন, কোভিড-১৯ পরিস্থিতিতে দেশের ক্ষতিগ্রস্ত অর্থনীতিকে দ্রুত স্বাভাবিক সম্মিলিতভাবে সরকার",1
"সিএসইতে হাতবদল হওয়া শেয়ার মিউচুয়াল ফান্ডের দর বেড়েছে ৯০টির, কমেছে ১৯৮টির, অপরিবর্তিত ১৯টির দর",1
এপ্রিল কয়েনের দাম দাঁড়ায় ৬৪ ৮৯৯ মার্কিন ডলার,1
প্রাথমিক গণপ্রস্তাব (আইপিও) ছেড়ে পুঁজিবাজার ১৫০ টাকা কোম্পানি লুব-রেফ গত ৯ মার্চ শেয়ারবাজারে লেনদেন করে,1
১৪ জুন কোম্পানিটির শেয়ার ৫৬ টাকা ৫০ পয়সায় উন্নীত হয়,1
"বাজার পর্যবেক্ষণে যায়, ডিএসইতে ১ জুন লুব-রেফের শেয়ারের দর ৪১ টাকা ৩০ পয়সা",1
সম্প্রতি লুব-রেফ বাংলাদেশের শেয়ারের দর অস্বাভাবিক বাড়ার কারণে গত ১৪ জুন নোটিশ পাঠায় ডিএসই,1
"ইথেরামের দাম বেড়েছে ৭ দশমিক ৭ শতাংশ, ডজকয়েনের দাম বেড়েছে ৫ শতাংশ",1
গত মে মাসে মাস্কের ক্রিপটোকারেন্সি বর্জনের ঘোষণা দাম ১২ শতাংশ কমে যায়,1
"কয়েনবেস জানায়, জানুয়ারিতে বিটকয়েনের দাম ২৯ ৪০০ মার্কিন ডলার",1
৪ শতাংশ সরল সেবা মূল‍্যে ২ বছর মেয়াদে ঋণ বিতরণ হবে,1
"গত রোববার মাস্কের ঘোষণার ক্রিপটোকারেন্সি লেনদেনের প্ল্যাটফর্ম কয়েনবেস জানায়, সোমবার সকাল নাগাদই ক্রিপটোকারেন্সির দাম ১২ দশমিক ৫ শতাংশ বেড়ে গেছে",1
"মাস্ক লেখেন, 'এখন বিষয়টি নিশ্চিত ক্রিপটোকারেন্সি প্রস্তুতকারকেরা পরিমাণ (প্রায় ৫০ শতাংশ) নিরাপদ জ্বালানি করছেন, টেসলাও বিটকয়েন গ্রহণ করবে",1
সময় লেনদেন হয়েছে ১০ ১৪ লাখ টাকার,1
"অপর সিএসইতে হাতবদল হওয়া শেয়ার মিউচুয়াল ফান্ডের দর বেড়েছে ৭৬টির, কমেছে ৯৪টির, দর অপরিবর্তিত ২০টির",1
"হাতবদল হওয়া শেয়ার মিউচুয়াল ফান্ডের দর বেড়েছে ১৪৯টির, কমেছে ১৬৪টির, অপরিবর্তিত ৫২টির দর",1
বেলা ১১টা লেনদেন হয়েছে ৫৬০ টাকার,1
১৫০ টাকা তুলতে লুব-রেফ ৪ ৫২ লাখ ৪৩ ১৪৪টি শেয়ার বাজারে ছাড়ে,1
২০১৯-২০ অর্থবছর শেষ হয়েছে এক বছর আগে,1
বছরখানেক ৫ দশমিক ২ শতাংশ প্রবৃদ্ধি অর্জনের একটা সাময়িক হিসাব দিয়েছিল পরিকল্পনা মন্ত্রণালয়ের আওতাভুক্ত সংস্থা বাংলাদেশ পরিসংখ্যান ব্যুরো (বিবিএস),1
"বগুড়া-৬ আসনের সাংসদ গোলাম মোহাম্মদ সিরাজের এক প্রশ্নের জবাবে অর্থমন্ত্রী বলেন, এক দশকের ক্রমাগত উচ্চ জিডিপি প্রবৃদ্ধি অর্জনের ধারা কোভিড-১৯-এর প্রভাবে সাময়িকভাবে বাধাগ্রস্ত হয়েছে",1
গত ২০১৮-১৯ অর্থবছরে রেকর্ড ৮ দশমিক ১৫ শতাংশ প্রবৃদ্ধি অর্জিত ২০১৯-২০ অর্থবছরে করোনাভাইরাসের কারণে কমে ৫ দশমিক ২ শতাংশ হয়েছে,1
কোভিড-১৯ মহামারির অর্থনৈতিক প্রভাব মোকাবিলায় বিশ্বে সাফল্যের এক অনন্য নজির স্থাপন বাংলাদেশ,1
"প্রশ্ন ছিল, ২০১৯-২০ অর্থবছরের প্রবৃদ্ধির হার বিবিএস নির্ণয় না? জানান, 'এখনো হয়নি",1
"'অর্থ মন্ত্রণালয় বিবিএসের সূত্রগুলো জানায়, ২০১৯-২০ অর্থবছরে প্রবৃদ্ধি অর্জনের হার ৪ শতাংশের হবে",1
"এদিকে চট্টগ্রাম-১১ আসনের সাংসদ এম আবদুল লতিফের অপর এক প্রশ্নের জবাবে অর্থমন্ত্রী জানান, ২০১৪-১৫ ২০২০-২১ অর্থবছরের বর্তমান সময় ৬ বছরে ৬৮টি প্রতিষ্ঠান গণপ্রস্তাবের (আইপিও) পুঁজিবাজার ৪ ৮৩১ টাকার মূলধন সংগ্রহ করেছে",1
"অর্থমন্ত্রী জানান, মুজিব বর্ষ উপলক্ষে 'বঙ্গবন্ধু যুবঋণ' কর্মসূচির আওতায় জামানত ছাড়া ৯০০ টাকার ঋণ হয়েছে",1
প্রশিক্ষণপ্রাপ্ত ৫৮ ২৯৭ বেকার যুবককে গত ৮ জুন জামানতবিহীন ঋণ নিয়েছেন,1
ওহাইওভিত্তিক শপিং মল কোম্পানি 'ওয়াশিংটন প্রাইম গ্রুপ' স্থানীয় সময় ১৪ জুন আদালতে আবেদন জানিয়েছে,1
ওয়াশিংটন প্রাইম গ্রুপের শেয়ার গত এক বছরে ৬০ শতাংশ নেমেছে,1
গত এক বছরে যুক্তরাষ্ট্রে ৮০ হাজারের খুচরা ব্যবসাপ্রতিষ্ঠান বন্ধ হয়ে গেছে,1
করোনাভাইরাসের প্রভাবে ক্ষতিগ্রস্ত ক্ষুদ্র পল্লি উদ্যোক্তাদের স্বল্প সুদ সহজ শর্তে ৩০০ টাকার প্রণোদনা ঋণ বিতরণ হয়েছে,1
বৃহত্তর ফরিদপুরের ৫ ক্ষুদ্র উদ্যোক্তার প্রত্যেককে পাচঁ লাখ টাকার চেক দিয়ে কার্যক্রম হয়,1
কোভিড-১৯-এ ক্ষতিগ্রস্ত ক্ষুদ্র উদ্যোক্তাদের জন‍্য প্রধানমন্ত্রী ঘোষিত প্রণোদনা প‍্যাকেজের আওতায় বাংলাদেশ পল্লী উন্নয়ন বোর্ড (বিআরডিবি) ৩০০ টাকা ঋণ তহবিল বরাদ্দ পেয়েছে,1
"হাতবদল হওয়া শেয়ার মিউচুয়াল ফান্ডের দর বেড়েছে ১০৩টির, কমেছে ২৫৮টির, অপরিবর্তিত ১১টির দর",1
লেনদেন হয়েছে ৭৯ ৯২ লাখ টাকার,1
পেপার প্রসেসিং অ্যান্ড প্যাকেজিংও ১৯৮৯ সালে শেয়ারবাজারে তালিকাভুক্ত হয়েছিল,1
"জি-৭ সম্মেলনের ঘোষণাপত্রে উল্লেখ হয়েছে, মহামারি নির্মূল ভবিষ্যৎ মহামারি ঠেকাতে বৈশ্বিকভাবে উদ্যোগ নেওয়ার প্রতিশ্রুতি দিয়েছেন নেতারা",1
২০১৮ সালে ব্যাংক ৩ ৯০ লাখ টাকা ঋণ লালবাগেই তাজে নবাব নামে কমিউনিটি সেন্টারে বিনিয়োগ করেন,1
"অনুষ্ঠানে হয়, বর্তমানে সারা দেশে বিসিকের আওতায় ৭৬টি শিল্পনগর রয়েছে ২০৪১ সালের দেশের অর্থনৈতিকভাবে গুরুত্বপূর্ণ এলাকাগুলোয় ৪০ একর জমিতে ১০০টি পরিবেশবান্ধব শিল্পপার্ক স্থাপনের মহাপরিকল্পনা হয়েছে",1
"শিল্পমন্ত্রী বলেন, বিসিকের নিজস্ব ২৯টি সেবা বাইরের ১৩টি সেবা ক্রমান্বয়ে ওয়ান স্টপ সার্ভিসের আওতায় আনা হবে",1
"ছাড়া পরিবেশ, জলবায়ু মন্ত্রণালয়ের আওতাধীন ১৭টি সেবাও ওয়ান স্টপ সার্ভিসের আওতায় আনার কার্যক্রম বিসিক",1
যুক্তরাজ্য সরকার পদক্ষেপ নিয়েছিল ৫০ টিকা বণ্টন সম্ভব হয়েছে,1
"বলেন, ১৫০ ডোজ বণ্টন হয়েছে",1
যুক্তরাজ্য কোভ্যাক্সে ১০ টিকার ডোজ দেবে বলেও জানিয়েছেন তিনি,1
"অন্য কারখানার শ্রমিকেরা এক মাসের মজুরি পরের মাসের ১০ তারিখের পান, স্নোটেক্সের কর্মীরা মাসের মজুরি মাসেই পান",1
"'বরিস বলেন, জি-৭-এর নেতারা দরিদ্র দেশগুলোকে পরিমাণ ডোজ দেওয়ার প্রতিশ্রুতি দিয়েছেন, নিজ দেশগুলোর হাতে দেবেন, নয়তো বিশ্ব স্বাস্থ্য সংস্থার কোভ্যাক্স কর্মসূচিতে দেবেন",1
"পুরো বিশ্ব তাকিয়েছিল কূটনৈতিক তৎপরতা, অর্থ বৈজ্ঞানিক আবিষ্কার কোভিড-১৯ মোকাবিলা করব",1
দুই বছর জি–৭ সম্মেলন অনুষ্ঠিত হলো,1
"বলেন, বিশ্বজুড়ে টিকা কর্মসূচি চালাতে জি-৭-এর দেশগুলো পরিমাণ ডোজ সরবরাহ করবে, মধ্য দিয়ে গণতান্ত্রিক মূল্যবোধের বিষয়টি প্রকাশ পাবে",1
"সম্মেলন শেষে বরিস বলেন, টিকা পাওয়ার দেশগুলো 'জাতীয়তাবাদী আচরণ' করছিল, খারিজ জি–৭–এর নেতারা",1
জি-৭ সম্মেলন শেষে যুক্তরাজ্যের প্রধানমন্ত্রী বরিস জনসন তথ্য জানিয়েছেন,1
বিনিয়োগে মাসে ৫ লাখ ৮ টাকা ব্যাংকের কিস্তি ৫ লাখ টাকা বাড়িভাড়া পরিশোধ হচ্ছে,1
'এর ৮ জুন কমিউনিটি সেন্টার খুলে দেওয়ার দাবি বিসিসিএ নেতারা প্রধানমন্ত্রীর মুখ্য সচিব বরাবর চিঠি পাঠান,1
